provider_id,provider_name,provider_type,state,avg_claim_amount,total_claims,fraud_rate,accreditation,years_active
PRV0028,Provider_28,Hospital,PA,6168.31,3775,0.1222,AAAHC,20
PRV0029,Provider_29,Hospital,GA,2980.87,4887,0.0106,AAAHC,23
PRV0030,Provider_30,Specialist,IL,6518.69,1897,0.0696,DNV,18
PRV0031,Provider_31,Specialist,OH,3856.34,772,0.0591,JCAHO,6
PRV0032,Provider_32,Lab,FL,6454.59,2932,0.0899,None,23
PRV0033,Provider_33,Specialist,GA,3581.35,841,0.1205,AAAHC,5
PRV0034,Provider_34,Hospital,TX,2955.05,66,0.1354,None,7
PRV0035,Provider_35,Specialist,MI,12162.86,498,0.1291,DNV,14
PRV0036,Provider_36,Pharmacy,NY,7560.36,618,0.103,DNV,2
PRV0037,Provider_37,Lab,NY,2235.98,4725,0.0491,JCAHO,21
PRV0038,Provider_38,Specialist,MI,9377.89,801,0.0235,None,16
PRV0039,Provider_39,Clinic,TX,2897.67,3969,0.0295,JCAHO,5
PRV0040,Provider_40,Clinic,NC,12411.49,335,0.0246,AAAHC,26
PRV0041,Provider_41,Hospital,NY,10511.55,3840,0.053,DNV,20
PRV0042,Provider_42,Lab,NY,9475.99,213,0.1331,None,11
PRV0043,Provider_43,Clinic,PA,2323.6,1218,0.0776,None,14
PRV0044,Provider_44,Lab,FL,1296.86,3390,0.0515,AAAHC,29
PRV0045,Provider_45,Pharmacy,OH,11874.34,3332,0.1131,AAAHC,16
PRV0046,Provider_46,Lab,PA,12160.29,2723,0.1382,None,15
PRV0047,Provider_47,Pharmacy,TX,10416.75,4078,0.1059,AAAHC,11
PRV0048,Provider_48,Clinic,TX,11989.5,2686,0.0066,DNV,26
PRV0049,Provider_49,Clinic,NY,5831.22,474,0.0669,None,26
PRV0050,Provider_50,Lab,IL,10773.25,4783,0.0943,AAAHC,22
PRV0051,Provider_51,Hospital,NC,1298.22,2543,0.0945,AAAHC,11
PRV0052,Provider_52,Lab,CA,7749.87,1814,0.0548,DNV,3
PRV0053,Provider_53,Lab,IL,12712.0,3933,0.038,JCAHO,29
PRV0054,Provider_54,Lab,FL,1472.51,1772,0.1326,JCAHO,2
PRV0055,Provider_55,Lab,OH,8740.39,3833,0.0813,JCAHO,13
PRV0056,Provider_56,Hospital,CA,14909.95,1059,0.0994,AAAHC,12
PRV0057,Provider_57,Clinic,PA,11324.2,4684,0.0384,AAAHC,24
PRV0058,Provider_58,Lab,OH,5570.89,2301,0.1445,DNV,7
PRV0059,Provider_59,Specialist,NC,4673.24,2257,0.0054,DNV,29
PRV0060,Provider_60,Clinic,IL,1571.38,358,0.0228,JCAHO,6
PRV0061,Provider_61,Specialist,TX,6730.53,3284,0.0456,None,27
PRV0062,Provider_62,Pharmacy,PA,12071.13,4518,0.0048,AAAHC,30
PRV0063,Provider_63,Pharmacy,PA,6994.31,1451,0.0413,None,1
PRV0064,Provider_64,Lab,IL,9087.03,349,0.067,JCAHO,22
PRV0065,Provider_65,Hospital,CA,10687.33,4007,0.1456,None,17
PRV0066,Provider_66,Specialist,MI,11201.57,4080,0.0298,AAAHC,26
PRV0067,Provider_67,Specialist,IL,12400.95,50,0.1114,AAAHC,1
PRV0068,Provider_68,Lab,MI,7557.86,3813,0.0677,JCAHO,13
PRV0069,Provider_69,Pharmacy,OH,5334.34,883,0.15,DNV,26
PRV0070,Provider_70,Lab,TX,4619.89,372,0.1141,None,5
PRV0071,Provider_71,Lab,GA,9182.74,2333,0.0874,JCAHO,8
PRV0072,Provider_72,Lab,PA,5476.39,2819,0.1212,JCAHO,27
PRV0073,Provider_73,Clinic,GA,9021.52,1153,0.0834,AAAHC,22
PRV0074,Provider_74,Hospital,NC,11110.87,1188,0.1202,None,14
PRV0075,Provider_75,Hospital,GA,5502.54,722,0.1472,JCAHO,23
PRV0076,Provider_76,Specialist,GA,5657.44,129,0.0894,None,12
PRV0077,Provider_77,Pharmacy,MI,14971.35,3776,0.1175,JCAHO,10
PRV0078,Provider_78,Specialist,MI,1088.54,502,0.0376,None,10
PRV0079,Provider_79,Specialist,TX,9447.61,3988,0.0341,AAAHC,12
PRV0080,Provider_80,Specialist,MI,13881.3,741,0.14,None,16
PRV0081,Provider_81,Specialist,NC,7256.85,1078,0.1372,AAAHC,8
PRV0082,Provider_82,Specialist,NY,10288.16,1752,0.0522,AAAHC,30
PRV0083,Provider_83,Lab,NY,11399.04,3658,0.1314,JCAHO,10
PRV0084,Provider_84,Clinic,CA,12325.98,1466,0.1452,DNV,17
PRV0085,Provider_85,Clinic,PA,6259.9,4170,0.0776,None,18
PRV0086,Provider_86,Clinic,FL,6491.17,1720,0.0174,JCAHO,4
PRV0087,Provider_87,Hospital,OH,13556.49,4177,0.0836,JCAHO,9
PRV0088,Provider_88,Lab,NC,5777.31,3234,0.12,DNV,16
PRV0089,Provider_89,Specialist,FL,11396.35,312,0.1027,DNV,30
PRV0090,Provider_90,Lab,NC,9359.91,1941,0.019,JCAHO,27
PRV0091,Provider_91,Pharmacy,MI,12927.21,82,0.0963,None,25
PRV0092,Provider_92,Specialist,GA,13588.26,4439,0.1076,DNV,16
PRV0093,Provider_93,Pharmacy,PA,5764.57,2905,0.0612,JCAHO,18
PRV0094,Provider_94,Lab,GA,14119.63,99,0.0315,DNV,26
PRV0095,Provider_95,Pharmacy,FL,9968.08,4584,0.1464,DNV,18
PRV0096,Provider_96,Clinic,OH,6997.7,3328,0.0589,DNV,16
PRV0097,Provider_97,Pharmacy,IL,1061.84,4970,0.0875,AAAHC,14
PRV0098,Provider_98,Hospital,FL,13659.59,632,0.0287,DNV,10
PRV0099,Provider_99,Pharmacy,OH,1875.94,1541,0.1015,AAAHC,25
PRV0100,Provider_100,Clinic,CA,12603.03,1189,0.1398,AAAHC,15
PRV0101,Provider_101,Specialist,NY,14444.46,3439,0.0431,None,2
PRV0102,Provider_102,Clinic,OH,3659.21,4878,0.145,DNV,6
PRV0103,Provider_103,Specialist,TX,2951.42,4066,0.0539,AAAHC,12
PRV0104,Provider_104,Lab,PA,7752.14,2904,0.0996,None,26
PRV0105,Provider_105,Hospital,PA,8968.23,2418,0.1066,AAAHC,14
PRV0106,Provider_106,Hospital,TX,2401.6,2322,0.0975,None,3
PRV0107,Provider_107,Specialist,MI,13279.45,575,0.017,None,11
PRV0108,Provider_108,Hospital,GA,7929.39,2630,0.0179,DNV,22
PRV0109,Provider_109,Pharmacy,TX,1718.43,3579,0.0356,JCAHO,6
PRV0110,Provider_110,Clinic,OH,3646.21,1873,0.0232,AAAHC,30
PRV0111,Provider_111,Specialist,NC,991.75,4380,0.0694,AAAHC,13
PRV0112,Provider_112,Pharmacy,OH,2452.87,1670,0.0652,DNV,7
PRV0113,Provider_113,Clinic,PA,10178.98,1801,0.1297,DNV,18
PRV0114,Provider_114,Clinic,NY,11639.9,799,0.0779,None,7
PRV0115,Provider_115,Hospital,MI,6192.2,595,0.0964,JCAHO,29
PRV0116,Provider_116,Hospital,PA,10799.44,2085,0.1424,JCAHO,26
PRV0117,Provider_117,Clinic,MI,2014.49,810,0.119,AAAHC,23
PRV0118,Provider_118,Specialist,OH,4366.47,2238,0.0922,DNV,20
PRV0119,Provider_119,Clinic,IL,10846.04,362,0.0735,AAAHC,18
PRV0120,Provider_120,Specialist,CA,1129.39,3340,0.0018,DNV,16
PRV0121,Provider_121,Lab,TX,14831.19,2732,0.1215,AAAHC,11
PRV0122,Provider_122,Clinic,MI,9649.47,2126,0.059,None,11
PRV0123,Provider_123,Lab,GA,10733.78,1988,0.0775,JCAHO,3
PRV0124,Provider_124,Specialist,IL,8043.74,4182,0.0218,None,3
PRV0125,Provider_125,Specialist,FL,7155.1,3773,0.0965,AAAHC,10
PRV0126,Provider_126,Lab,NC,14567.17,3283,0.0041,DNV,14
PRV0127,Provider_127,Clinic,IL,2810.17,2148,0.1136,DNV,22
PRV0128,Provider_128,Specialist,NC,3232.51,2020,0.0305,JCAHO,23
PRV0129,Provider_129,Lab,NC,1525.4,2571,0.0685,DNV,3
PRV0130,Provider_130,Lab,PA,2471.49,4655,0.1462,AAAHC,20
PRV0131,Provider_131,Specialist,IL,3669.46,3740,0.0605,JCAHO,14
PRV0132,Provider_132,Specialist,FL,1115.39,2404,0.0489,DNV,12
PRV0133,Provider_133,Lab,GA,3706.65,4346,0.1074,DNV,4
PRV0134,Provider_134,Pharmacy,NC,1149.93,4968,0.0264,AAAHC,15
PRV0135,Provider_135,Specialist,GA,14760.64,2547,0.1397,JCAHO,2
PRV0136,Provider_136,Lab,PA,851.59,2791,0.001,JCAHO,15
PRV0137,Provider_137,Specialist,TX,2339.17,4643,0.0831,JCAHO,19
PRV0138,Provider_138,Specialist,PA,2047.92,4468,0.1257,DNV,17
PRV0139,Provider_139,Lab,TX,11904.65,931,0.0358,DNV,24
PRV0140,Provider_140,Pharmacy,TX,12938.0,2755,0.0246,JCAHO,19
PRV0141,Provider_141,Lab,OH,13646.97,547,0.0538,DNV,24
PRV0142,Provider_142,Lab,PA,4780.99,3303,0.0738,None,28
PRV0143,Provider_143,Lab,NC,11741.23,4570,0.0998,DNV,4
PRV0144,Provider_144,Pharmacy,MI,10030.55,4418,0.0989,DNV,17
PRV0145,Provider_145,Specialist,GA,7602.21,1434,0.0914,JCAHO,27
PRV0146,Provider_146,Clinic,NY,11094.3,4318,0.09,AAAHC,19
PRV0147,Provider_147,Lab,FL,2088.94,1574,0.1276,DNV,21
PRV0148,Provider_148,Hospital,NC,13498.56,898,0.0644,JCAHO,15
PRV0149,Provider_149,Pharmacy,GA,4279.6,2410,0.0495,DNV,12
PRV0150,Provider_150,Clinic,FL,8089.56,4238,0.1407,JCAHO,29
PRV0151,Provider_151,Lab,NY,8178.56,3937,0.0666,AAAHC,13
PRV0152,Provider_152,Hospital,PA,5019.47,661,0.1304,DNV,22
PRV0153,Provider_153,Hospital,IL,2099.81,4327,0.0829,DNV,19
PRV0154,Provider_154,Specialist,FL,12321.77,252,0.0588,JCAHO,21
PRV0155,Provider_155,Lab,NY,7577.53,2318,0.087,AAAHC,23
PRV0156,Provider_156,Pharmacy,NY,14743.76,3267,0.08,JCAHO,4
PRV0157,Provider_157,Pharmacy,MI,3659.77,3496,0.1462,None,13
PRV0158,Provider_158,Lab,GA,5365.57,476,0.1474,DNV,10
PRV0159,Provider_159,Lab,NY,11333.29,4837,0.0518,JCAHO,18
PRV0160,Provider_160,Clinic,PA,14062.74,2814,0.0652,None,2
PRV0161,Provider_161,Lab,OH,14778.8,384,0.0946,AAAHC,21
PRV0162,Provider_162,Specialist,FL,5283.33,313,0.1433,None,29
PRV0163,Provider_163,Specialist,FL,9506.8,4825,0.0863,JCAHO,7
PRV0164,Provider_164,Lab,CA,9953.71,3553,0.0288,JCAHO,12
PRV0165,Provider_165,Hospital,PA,4719.6,4499,0.1039,DNV,24
PRV0166,Provider_166,Lab,OH,10588.34,2871,0.0981,None,21
PRV0167,Provider_167,Hospital,OH,13923.73,3779,0.0377,JCAHO,25
PRV0168,Provider_168,Clinic,TX,8773.12,4115,0.0606,DNV,1
PRV0169,Provider_169,Hospital,FL,10736.92,2203,0.0175,JCAHO,1
PRV0170,Provider_170,Hospital,FL,12345.7,586,0.0258,AAAHC,4
PRV0171,Provider_171,Clinic,OH,11617.85,3677,0.1478,DNV,29
PRV0172,Provider_172,Hospital,PA,11209.05,881,0.118,None,26
PRV0173,Provider_173,Lab,TX,13026.14,473,0.1192,None,6
PRV0174,Provider_174,Clinic,TX,1578.06,1963,0.0912,None,7
PRV0175,Provider_175,Clinic,MI,10676.83,465,0.0785,AAAHC,18
PRV0176,Provider_176,Lab,GA,8735.53,2336,0.0235,AAAHC,24
PRV0177,Provider_177,Pharmacy,CA,9054.22,3676,0.0446,JCAHO,3
PRV0178,Provider_178,Lab,OH,5055.78,2427,0.0392,JCAHO,14
PRV0179,Provider_179,Specialist,TX,10804.9,2253,0.0459,JCAHO,21
PRV0180,Provider_180,Lab,CA,13825.4,3923,0.0818,JCAHO,27
PRV0181,Provider_181,Pharmacy,GA,4616.95,2852,0.0157,None,1
PRV0182,Provider_182,Lab,TX,7364.02,731,0.0048,None,20
PRV0183,Provider_183,Hospital,OH,5932.85,2327,0.0197,None,17
PRV0184,Provider_184,Pharmacy,FL,13887.54,1892,0.0459,JCAHO,21
PRV0185,Provider_185,Hospital,GA,9903.45,470,0.1235,JCAHO,11
PRV0186,Provider_186,Pharmacy,PA,1864.11,1260,0.0576,AAAHC,21
PRV0187,Provider_187,Hospital,PA,11341.72,698,0.112,JCAHO,8
PRV0188,Provider_188,Pharmacy,OH,4372.66,1593,0.0399,JCAHO,22
PRV0189,Provider_189,Pharmacy,PA,12134.95,247,0.003,DNV,16
PRV0190,Provider_190,Clinic,GA,9257.86,1272,0.1226,DNV,11
PRV0191,Provider_191,Pharmacy,PA,10021.19,4460,0.0773,None,30
PRV0192,Provider_192,Pharmacy,OH,2726.38,3117,0.0114,DNV,25
PRV0193,Provider_193,Specialist,CA,6038.06,354,0.087,AAAHC,18
PRV0194,Provider_194,Lab,NY,5230.61,2719,0.0037,DNV,22
PRV0195,Provider_195,Specialist,NY,13170.57,3799,0.1207,AAAHC,27
PRV0196,Provider_196,Lab,MI,4445.57,4923,0.1216,DNV,12
PRV0197,Provider_197,Lab,NY,9732.09,1134,0.0053,DNV,27
PRV0198,Provider_198,Pharmacy,OH,2393.95,4347,0.0901,DNV,25
PRV0199,Provider_199,Clinic,OH,8576.54,651,0.0536,DNV,8
PRV0200,Provider_200,Specialist,OH,14969.07,1519,0.1392,AAAHC,22
PRV0201,Provider_201,Clinic,IL,6543.51,3187,0.1092,AAAHC,2
PRV0202,Provider_202,Hospital,OH,1268.37,161,0.1491,AAAHC,9
PRV0203,Provider_203,Specialist,NY,4056.9,2626,0.1498,DNV,3
PRV0204,Provider_204,Clinic,NY,1652.79,3660,0.0152,None,4
PRV0205,Provider_205,Hospital,CA,6303.55,994,0.1243,JCAHO,29
PRV0206,Provider_206,Pharmacy,IL,3924.55,1061,0.077,JCAHO,18
PRV0207,Provider_207,Specialist,NY,2921.57,1014,0.0664,None,17
PRV0208,Provider_208,Clinic,FL,11116.7,3107,0.1498,AAAHC,2
PRV0209,Provider_209,Pharmacy,GA,9570.38,4517,0.0942,DNV,4
PRV0210,Provider_210,Lab,FL,4854.14,2159,0.0505,AAAHC,26
PRV0211,Provider_211,Lab,MI,3010.51,641,0.0909,DNV,17
PRV0212,Provider_212,Lab,NY,2918.34,3325,0.1307,DNV,16
PRV0213,Provider_213,Clinic,TX,4792.39,95,0.1029,DNV,8
PRV0214,Provider_214,Pharmacy,TX,4127.36,62,0.1276,AAAHC,23
PRV0215,Provider_215,Pharmacy,NC,561.14,2737,0.0895,DNV,3
PRV0216,Provider_216,Lab,OH,11544.57,4318,0.028,None,1
PRV0217,Provider_217,Lab,PA,8920.63,1955,0.137,AAAHC,2
PRV0218,Provider_218,Specialist,PA,14212.96,3815,0.0104,None,10
PRV0219,Provider_219,Hospital,OH,13295.59,1441,0.1405,DNV,15
PRV0220,Provider_220,Pharmacy,NC,3294.74,1429,0.0937,AAAHC,26
PRV0221,Provider_221,Pharmacy,PA,3888.57,994,0.0801,DNV,5
PRV0222,Provider_222,Specialist,IL,3186.74,965,0.0834,DNV,9
PRV0223,Provider_223,Lab,MI,6333.08,4739,0.0109,JCAHO,16
PRV0224,Provider_224,Clinic,MI,1964.44,4614,0.0238,AAAHC,28
PRV0225,Provider_225,Specialist,PA,3914.47,3423,0.1062,AAAHC,22
PRV0226,Provider_226,Hospital,IL,11195.47,3291,0.004,DNV,23
PRV0227,Provider_227,Specialist,FL,7867.13,3073,0.148,None,17
PRV0228,Provider_228,Pharmacy,NC,5691.09,134,0.0651,None,7
PRV0229,Provider_229,Pharmacy,TX,11513.76,364,0.1046,DNV,6
PRV0230,Provider_230,Hospital,PA,9868.31,1789,0.0647,AAAHC,4
PRV0231,Provider_231,Lab,NY,1250.67,4009,0.0205,AAAHC,12
PRV0232,Provider_232,Specialist,GA,1196.25,3489,0.0384,JCAHO,19
PRV0233,Provider_233,Pharmacy,NC,4623.04,540,0.0934,JCAHO,25
PRV0234,Provider_234,Lab,OH,8979.97,1457,0.041,None,14
PRV0235,Provider_235,Hospital,MI,1405.83,1323,0.0736,JCAHO,26
PRV0236,Provider_236,Pharmacy,FL,2886.48,4138,0.0329,JCAHO,28
PRV0237,Provider_237,Specialist,GA,7689.37,1593,0.1296,JCAHO,21
PRV0238,Provider_238,Specialist,CA,976.49,1036,0.1266,JCAHO,30
PRV0239,Provider_239,Pharmacy,MI,3689.45,2459,0.0984,None,7
PRV0240,Provider_240,Clinic,MI,11582.19,250,0.1301,AAAHC,10
PRV0241,Provider_241,Clinic,IL,9480.31,764,0.0236,AAAHC,13
PRV0242,Provider_242,Hospital,NY,1033.28,2181,0.0969,AAAHC,19
PRV0243,Provider_243,Clinic,MI,1278.38,282,0.0689,DNV,13
PRV0244,Provider_244,Clinic,NY,3975.48,2687,0.042,AAAHC,10
PRV0245,Provider_245,Hospital,FL,3858.98,459,0.0348,AAAHC,8
PRV0246,Provider_246,Pharmacy,NY,622.75,2122,0.141,AAAHC,25
PRV0247,Provider_247,Specialist,OH,8301.57,4965,0.0519,DNV,2
PRV0248,Provider_248,Pharmacy,TX,14122.73,3823,0.133,JCAHO,29
PRV0249,Provider_249,Lab,FL,14470.0,4145,0.0075,DNV,26
PRV0250,Provider_250,Hospital,CA,1579.18,2436,0.1319,JCAHO,4
PRV0251,Provider_251,Hospital,NY,9789.26,1015,0.0058,JCAHO,28
PRV0252,Provider_252,Lab,OH,12341.7,2723,0.1488,AAAHC,2
PRV0253,Provider_253,Pharmacy,IL,13502.93,2588,0.1358,AAAHC,14
PRV0254,Provider_254,Pharmacy,NY,6674.3,2441,0.0676,DNV,21
PRV0255,Provider_255,Pharmacy,NC,10346.29,1418,0.0467,JCAHO,30
PRV0256,Provider_256,Clinic,TX,11176.21,3142,0.126,DNV,23
PRV0257,Provider_257,Clinic,TX,9636.93,3254,0.0267,AAAHC,9
PRV0258,Provider_258,Clinic,NC,4890.74,283,0.0325,JCAHO,29
PRV0259,Provider_259,Lab,MI,7992.49,4103,0.1144,DNV,8
PRV0260,Provider_260,Lab,NY,3623.88,4902,0.1408,JCAHO,17
PRV0261,Provider_261,Clinic,OH,6078.66,238,0.1489,DNV,9
PRV0262,Provider_262,Hospital,OH,6845.84,2287,0.0152,AAAHC,11
PRV0263,Provider_263,Clinic,GA,13806.3,3941,0.006,None,7
PRV0264,Provider_264,Clinic,NY,8294.61,2303,0.126,None,8
PRV0265,Provider_265,Specialist,TX,10983.6,4836,0.0046,AAAHC,4
PRV0266,Provider_266,Clinic,OH,5034.34,1028,0.1116,DNV,7
PRV0267,Provider_267,Lab,NY,7726.66,1795,0.0048,DNV,24
PRV0268,Provider_268,Hospital,CA,12507.91,2345,0.0374,DNV,14
PRV0269,Provider_269,Clinic,NC,4841.05,1392,0.0134,None,26
PRV0270,Provider_270,Hospital,CA,7006.14,242,0.1135,None,15
PRV0271,Provider_271,Pharmacy,FL,8694.32,4272,0.0332,DNV,6
PRV0272,Provider_272,Specialist,IL,12742.73,3316,0.1224,DNV,2
PRV0273,Provider_273,Hospital,IL,4173.82,4087,0.0724,JCAHO,8
PRV0274,Provider_274,Lab,OH,10955.68,194,0.062,None,28
PRV0275,Provider_275,Clinic,PA,8234.06,1725,0.1022,AAAHC,1
PRV0276,Provider_276,Lab,IL,12269.66,1440,0.1142,DNV,23
PRV0277,Provider_277,Specialist,PA,7740.93,4877,0.1384,AAAHC,26
PRV0278,Provider_278,Clinic,NC,4998.22,993,0.0658,DNV,16
PRV0279,Provider_279,Pharmacy,CA,11909.18,941,0.0878,JCAHO,21
PRV0280,Provider_280,Specialist,OH,10721.64,3098,0.0909,JCAHO,6
PRV0281,Provider_281,Lab,NY,1244.49,4774,0.0169,DNV,10
PRV0282,Provider_282,Pharmacy,NY,7484.44,347,0.0132,JCAHO,4
PRV0283,Provider_283,Lab,NY,1794.81,2434,0.0929,AAAHC,3
PRV0284,Provider_284,Specialist,CA,7805.58,207,0.0724,None,6
PRV0285,Provider_285,Specialist,NC,1390.88,1751,0.004,JCAHO,14
PRV0286,Provider_286,Hospital,CA,7126.13,4491,0.1123,None,24
PRV0287,Provider_287,Pharmacy,OH,3624.11,2718,0.0603,DNV,7
PRV0288,Provider_288,Lab,CA,13227.66,274,0.0694,AAAHC,27
PRV0289,Provider_289,Specialist,MI,4935.5,1246,0.0214,DNV,4
PRV0290,Provider_290,Pharmacy,OH,10698.82,3692,0.0097,None,15
PRV0291,Provider_291,Specialist,IL,3447.84,1232,0.1093,AAAHC,22
PRV0292,Provider_292,Clinic,NY,2778.5,1416,0.1076,JCAHO,6
PRV0293,Provider_293,Lab,PA,10543.93,502,0.0847,None,12
PRV0294,Provider_294,Pharmacy,NY,1426.54,2098,0.0281,DNV,20
PRV0295,Provider_295,Hospital,OH,12956.18,3005,0.1176,None,17
PRV0296,Provider_296,Specialist,GA,7093.24,4736,0.0986,JCAHO,28
PRV0297,Provider_297,Lab,NC,6107.34,205,0.1286,JCAHO,6
PRV0298,Provider_298,Clinic,NC,7591.21,2645,0.0784,JCAHO,27
PRV0299,Provider_299,Hospital,CA,9680.64,3531,0.0905,None,15
PRV0300,Provider_300,Clinic,CA,3228.03,4403,0.0948,DNV,10
PRV0301,Provider_301,Hospital,IL,7491.76,3051,0.012,DNV,11
PRV0302,Provider_302,Pharmacy,OH,3219.61,103,0.0217,DNV,30
PRV0303,Provider_303,Lab,PA,2134.13,4851,0.0898,JCAHO,7
PRV0304,Provider_304,Clinic,NC,14330.96,3732,0.0656,AAAHC,14
PRV0305,Provider_305,Lab,NY,5575.85,4994,0.1076,AAAHC,17
PRV0306,Provider_306,Lab,IL,3040.2,2101,0.073,DNV,29
PRV0307,Provider_307,Lab,IL,6932.46,1702,0.1385,DNV,1
PRV0308,Provider_308,Specialist,CA,4582.08,1373,0.0298,None,15
PRV0309,Provider_309,Specialist,CA,9299.7,259,0.1223,AAAHC,8
PRV0310,Provider_310,Specialist,NC,4116.63,823,0.0405,AAAHC,2
PRV0311,Provider_311,Hospital,CA,2036.07,1349,0.0584,JCAHO,18
PRV0312,Provider_312,Lab,FL,6361.67,1055,0.1305,AAAHC,12
PRV0313,Provider_313,Lab,NC,1161.67,4356,0.1124,DNV,6
PRV0314,Provider_314,Pharmacy,MI,13667.39,4965,0.0244,AAAHC,22
PRV0315,Provider_315,Lab,NC,12701.27,4562,0.0014,DNV,1
PRV0316,Provider_316,Specialist,NC,11502.56,921,0.0225,JCAHO,18
PRV0317,Provider_317,Pharmacy,FL,1931.02,349,0.069,DNV,11
PRV0318,Provider_318,Pharmacy,FL,631.77,4626,0.074,AAAHC,22
PRV0319,Provider_319,Clinic,GA,4216.04,4110,0.0446,JCAHO,7
PRV0320,Provider_320,Hospital,PA,10456.78,927,0.0009,AAAHC,18
PRV0321,Provider_321,Specialist,TX,12435.19,3596,0.0786,None,6
PRV0322,Provider_322,Pharmacy,OH,1917.08,1998,0.0186,None,6
PRV0323,Provider_323,Clinic,PA,11617.19,4485,0.1377,None,7
PRV0324,Provider_324,Hospital,NY,1643.02,448,0.0809,JCAHO,2
PRV0325,Provider_325,Clinic,NC,1321.46,590,0.1028,AAAHC,23
PRV0326,Provider_326,Lab,MI,5506.26,4050,0.1072,None,1
PRV0327,Provider_327,Specialist,NY,14720.94,3503,0.1324,AAAHC,25
PRV0328,Provider_328,Pharmacy,NC,2780.15,1063,0.0652,None,21
PRV0329,Provider_329,Lab,PA,5497.51,3723,0.0803,JCAHO,9
PRV0330,Provider_330,Hospital,OH,5846.63,4085,0.1264,AAAHC,22
PRV0331,Provider_331,Pharmacy,FL,11823.65,4645,0.1134,AAAHC,2
PRV0332,Provider_332,Lab,PA,630.42,1485,0.0076,None,22
PRV0333,Provider_333,Lab,CA,8299.66,4961,0.1484,DNV,5
PRV0334,Provider_334,Pharmacy,MI,6180.27,896,0.0068,DNV,11
PRV0335,Provider_335,Pharmacy,PA,4370.6,4455,0.0425,DNV,14
PRV0336,Provider_336,Lab,GA,3912.35,809,0.0147,JCAHO,22
PRV0337,Provider_337,Hospital,CA,9476.86,3959,0.0633,DNV,5
PRV0338,Provider_338,Clinic,FL,8376.45,2205,0.0526,JCAHO,14
PRV0339,Provider_339,Clinic,IL,6997.44,4124,0.1376,None,30
PRV0340,Provider_340,Pharmacy,TX,14573.42,2209,0.104,AAAHC,15
PRV0341,Provider_341,Specialist,NY,1583.51,3660,0.0934,JCAHO,9
PRV0342,Provider_342,Pharmacy,CA,9747.5,203,0.0636,JCAHO,4
PRV0343,Provider_343,Clinic,GA,6849.59,4953,0.051,JCAHO,12
PRV0344,Provider_344,Pharmacy,OH,549.45,648,0.1444,DNV,6
PRV0345,Provider_345,Pharmacy,PA,3700.02,2304,0.1458,AAAHC,9
PRV0346,Provider_346,Clinic,OH,10308.72,3622,0.0978,None,7
PRV0347,Provider_347,Pharmacy,NY,11793.64,4574,0.0366,AAAHC,7
PRV0348,Provider_348,Hospital,OH,5789.36,3129,0.1366,JCAHO,20
PRV0349,Provider_349,Clinic,FL,12071.63,4346,0.1352,JCAHO,18
PRV0350,Provider_350,Specialist,TX,1326.77,2056,0.0778,DNV,9
PRV0351,Provider_351,Pharmacy,FL,12054.93,2280,0.112,JCAHO,16
PRV0352,Provider_352,Lab,NC,5375.48,1970,0.0525,DNV,26
PRV0353,Provider_353,Lab,TX,12683.62,801,0.1107,DNV,11
